name,essround,edition,proddate,idno,cntry,dweight,pspwght,pweight,anweight,prob,stratum,psu,aesfdrk,happy,health,gndr,yrbrn,age,agea,edufld,edulvla,edulvlb,emplrel,isco08,iscoco,pdjobev,wkhtot,edlves,edlvaes,edlvdes,edlvees,edlvges,edlvhes,impdiff,impenv,impfree,impfun,imprich,impsafe,imptrad,ipadvnt,ipbhprp,ipcrtiv,ipeqopt,ipfrule,ipgdtim,iphlppl,iplylfr,ipmodst,iprspot,ipshabt,ipstrgv,ipsuces,ipudrst,regiones,regioaes,ages,region,year
ESS5e03_5,5,3.5,23.11.2023,1,ES,0.898535,0.87923145,2.0751612,1.824547,NA,NA,NA,2,8,2,2,1970,NA,41,NA,NA,720,1,NA,4121,6,39,NA,NA,24,NA,NA,NA,2,2,2,2,5,3,2,3,2,2,1,4,2,1,2,1,4,3,4,3,2,NA,NA,41,NA,2010
ESS5e03_5,5,3.5,23.11.2023,2,ES,0.91647285,1.2477498,2.0751612,2.589282,NA,NA,NA,4,8,2,2,1959,NA,52,NA,NA,322,1,NA,9131,1,54,NA,NA,16,NA,NA,NA,5,2,1,3,2,1,5,5,2,2,2,5,5,2,1,1,2,6,1,5,1,NA,NA,52,NA,2010
ESS5e03_5,5,3.5,23.11.2023,3,ES,0.67202115,0.35600486,2.0751612,0.7387675,NA,NA,NA,1,7,2,1,1965,NA,46,NA,NA,620,1,NA,8163,6,40,NA,NA,23,NA,NA,NA,4,1,1,1,6,1,2,4,1,1,1,3,3,1,1,1,3,3,3,3,2,NA,NA,46,NA,2010
ESS5e03_5,5,3.5,23.11.2023,6,ES,1.0196589,1.2057018,2.0751612,2.5020256,NA,NA,NA,2,8,2,1,1946,NA,65,NA,NA,0,3,NA,7231,1,50,NA,NA,1,NA,NA,NA,3,2,2,4,4,1,1,4,1,2,1,2,3,2,1,1,3,4,2,5,2,NA,NA,65,NA,2010
ESS5e03_5,5,3.5,23.11.2023,8,ES,1.0750875,1.0931305,2.0751612,2.268422,NA,NA,NA,2,10,3,1,1973,NA,38,NA,NA,213,1,NA,8161,6,40,NA,NA,8,NA,NA,NA,3,2,2,3,5,1,3,2,2,2,1,4,3,1,2,2,4,2,3,4,2,NA,NA,38,NA,2010
ESS5e03_5,5,3.5,23.11.2023,9,ES,0.84884965,1.3360776,2.0751612,2.7725763,NA,NA,NA,3,6,4,2,1983,NA,28,NA,NA,313,3,NA,5123,6,46,NA,NA,15,NA,NA,NA,1,3,1,3,5,4,6,2,2,1,4,2,2,2,1,2,5,5,2,4,2,NA,NA,28,NA,2010
ESS5e03_5,5,3.5,23.11.2023,10,ES,0.95772004,0.755876,2.0751612,1.5685645,NA,NA,NA,2,8,3,2,1958,NA,53,NA,NA,222,1,NA,1319,1,40,NA,NA,12,NA,NA,NA,2,1,2,2,4,1,1,3,1,1,3,4,2,2,2,5,2,1,1,1,2,NA,NA,53,NA,2010
ESS5e03_5,5,3.5,23.11.2023,11,ES,0.96699876,0.8924994,2.0751612,1.8520801,NA,NA,NA,2,8,2,1,1991,NA,20,NA,NA,313,6,NA,66666,2,666,NA,NA,15,NA,NA,NA,2,2,1,3,5,2,5,3,5,2,2,4,4,2,1,3,3,3,1,4,2,NA,NA,20,NA,2010
ESS5e03_5,5,3.5,23.11.2023,12,ES,1.0242755,1.0404499,2.0751612,2.1591012,NA,NA,NA,1,8,2,2,1973,NA,38,NA,NA,421,1,NA,4121,1,40,NA,NA,19,NA,NA,NA,3,3,1,1,4,1,3,3,3,1,1,4,1,1,1,1,5,5,1,1,1,NA,NA,38,NA,2010
ESS5e03_5,5,3.5,23.11.2023,14,ES,1.1643248,0.6928598,2.0751612,1.4377959,NA,NA,NA,3,6,4,2,1936,NA,75,NA,NA,0,6,NA,66666,2,666,NA,NA,0,NA,NA,NA,4,2,2,4,5,2,2,5,2,4,2,2,5,2,2,2,2,3,2,5,2,NA,NA,75,NA,2010
ESS5e03_5,5,3.5,23.11.2023,15,ES,0.84038734,0.7855809,2.0751612,1.630207,NA,NA,NA,2,7,2,2,1973,NA,38,NA,NA,620,1,NA,4121,1,40,NA,NA,23,NA,NA,NA,2,2,2,3,5,3,6,5,2,2,1,6,3,2,2,2,4,6,2,5,2,NA,NA,38,NA,2010
